Phylostratum	GeneID	X4wpc	X5wpc	X6wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	X18wpc	X19wpc	Neonate	Infant	Toddler	School	Teen	YoungAdult	MidAdult	Elderly
3	ENSG00000152377	0.93	0.5	0.51	0.726666666666667	0.473333333333333	0.284	0.333333333333333	0.35	0.3	0.08	0.18	0.613333333333333	0.08	0.83	0.5	0.9	0.68	0.2	0.566666666666667	0.04	0.69
2	ENSG00000152382	0.775	0.68	0.63	0.833333333333333	0.413333333333333	0.5	0.126666666666667	0.33	0.4	0.34	0.65	0.393333333333333	0.66	0.09	0.5	0.94	0.92	0.36	0.62	0.86	0.53
3	ENSG00000152402	0.63	0.55	0.645	0.52	0.483333333333333	0.476	0.146666666666667	0.4	0.6	0.24	0.8	0.706666666666667	0.693333333333333	0.98	0.76	0.88	0.44	0.02	0.526666666666667	0.74	0.59
9	ENSG00000152404	0.945	0.75	0.65	0.866666666666667	0.42	0.436	0.226666666666667	0.33	0.82	0.6	0.73	0.546666666666667	0.66	0.48	0.51	0.4	0.34	0.16	0.453333333333333	0.18	0.49
1	ENSG00000152413	0.97	0.78	0.765	0.853333333333333	0.54	0.488	0.333333333333333	0.61	0.84	0.52	0.78	0.566666666666667	0.513333333333333	0.4	0.22	0.12	0.08	0.02	0.0933333333333333	0.2	0.12
10	ENSG00000152422	0.895	0.91	0.705	0.826666666666667	0.473333333333333	0.576	0.3	0.48	0.74	0.58	0.72	0.546666666666667	0.666666666666667	0.56	0.32	0.06	0.08	0.04	0.226666666666667	0.18	0.08
8	ENSG00000152455	0.965	0.74	0.735	0.8	0.526666666666667	0.588	0.386666666666667	0.54	0.82	0.6	0.8	0.653333333333333	0.68	0.34	0.14	0.04	0.12	0.16	0.14	0.2	0.05
8	ENSG00000152457	0.865	0.48	0.66	0.826666666666667	0.676666666666667	0.684	0.353333333333333	0.44	0.82	0.64	0.88	0.766666666666667	0.806666666666667	0.38	0.18	0.18	0.16	0.02	0.14	0.1	0.06
8	ENSG00000152464	0.915	0.7	0.525	0.446666666666667	0.56	0.484	0.426666666666667	0.28	0.22	0.58	0.43	0.513333333333333	0.24	0.46	0.62	0.44	0.4	0.28	0.586666666666667	0.08	0.37
2	ENSG00000152465	0.945	0.79	0.64	0.673333333333333	0.386666666666667	0.452	0.133333333333333	0.26	0.5	0.44	0.75	0.506666666666667	0.533333333333333	0.85	0.88	0.68	0.24	0.16	0.686666666666667	0.54	0.27
1	ENSG00000152484	0.35	0.21	0.54	0.726666666666667	0.706666666666667	0.72	0.573333333333333	0.52	0.54	0.62	0.96	0.726666666666667	0.826666666666667	0.69	0.23	0.2	0.3	0.14	0.233333333333333	0.1	0.16
9	ENSG00000152492	0.935	0.9	0.575	0.72	0.32	0.3	0.28	0.15	0.42	0.34	0.52	0.433333333333333	0.406666666666667	0.92	0.83	0.6	0.4	0.5	0.74	0.62	0.45
4	ENSG00000152495	0.97	0.68	0.5	0.706666666666667	0.42	0.284	0.22	0.46	0.6	0.18	0.41	0.593333333333333	0.28	0.79	0.66	0.82	0.42	0.02	0.693333333333333	0.56	0.77
5	ENSG00000152503	0.76	0.65	0.44	0.8	0.323333333333333	0.424	0.326666666666667	0.6	0.32	0.26	0.37	0.453333333333333	0.446666666666667	0.93	0.48	0.46	0.04	0.64	0.906666666666667	0.34	0.71
2	ENSG00000152520	0.75	0.56	0.62	0.82	0.653333333333333	0.66	0.333333333333333	0.3	0.6	0.42	0.83	0.613333333333333	0.72	0.59	0.28	0.24	0.36	0.04	0.2	0.1	0.1
