"","Phylostratum","GeneID","Zygote","Quadrant","Globular","Heart","Torpedo","Bent","Mature"
"21921",8,"at4g23493.1",827.1462045,766.8401582,748.7153492,840.4266783,791.4206014,772.4423113,2138.796906
"21922",8,"at4g25930.1",1523.361454,1657.483822,986.0429163,1017.325185,925.420944,907.6937912,918.7951108
"21923",8,"at4g27170.1",3969.554066,1311.675137,2925.281755,5115.176224,4868.942055,68783.36614,52931.66162
"21924",8,"at4g28240.1",8963.114715,4420.059161,1131.707574,1141.615323,1337.032231,1627.839024,10622.45552
"21925",8,"at4g29110.1",751.6012114,835.7980036,926.1078096,951.8750093,877.2600058,806.3044444,778.7455726
"21926",8,"at4g30630.1",843.022286,931.5865297,908.9124641,867.5332936,889.694551,833.7727061,950.8429662
"21927",8,"at4g31620.1",827.6852264,821.2727062,995.916863,967.4398132,822.8291613,920.721708,845.3833516
"21928",8,"at4g34550.1",786.2016785,712.3846261,759.7850995,788.0940982,815.1106955,787.0469058,743.5238169
"21929",8,"at4g34600.1",763.3071574,764.1263527,741.2181066,811.6825652,786.0404732,818.6010011,718.3989697
"21930",8,"at4g34630.1",5972.989523,5111.443066,5185.118062,4460.232323,6078.218926,9424.487161,1657.893832
"21931",8,"at4g35110.3",1287.534024,1231.494955,1062.057292,1140.792806,994.7416609,874.0283589,918.947904
"21932",8,"at4g38550.1",775.3986075,843.6942603,880.0151553,790.5151254,800.9286995,797.6747617,789.754557
"21933",8,"at4g38560.2",839.9482489,873.4577149,820.3643419,785.6730707,786.2825522,838.8040016,715.4895862
"21934",8,"at4g39130.1",727.8676811,615.2026988,628.279761,653.4828935,657.5523882,674.9384425,1458.132868
"21935",8,"at4g39745.1",637.9877552,669.8203177,586.8472829,605.0822671,629.6065059,600.222268,583.4183192
"21936",8,"at5g02360.1",853.810866,749.1322934,647.4778278,749.7050925,697.8204285,683.7801072,752.8426995
"21937",8,"at5g03110.1",732.9697312,686.8384586,763.5557664,734.6906474,745.3231404,776.1237327,729.8823982
"21938",8,"at5g05640.1",849.6731984,830.4206192,874.6765885,865.9145484,812.604718,821.6048038,804.553231
"21939",8,"at5g11070.1",800.5815337,750.4855377,793.4502751,858.6678699,887.6808899,829.5852719,771.6982707
"21940",8,"at5g11140.1",1403.905464,1612.783052,1201.577127,1114.183509,1078.537141,966.6684454,1494.158823
"21941",8,"at5g11370.1",651.8718821,622.0841399,661.8922079,684.0195113,680.753268,641.484327,673.4243838
"21942",8,"at5g12360.1",712.5410747,769.2548017,706.3153866,720.1893449,766.7158265,704.939932,670.2037233
"21943",8,"at5g16160.1",788.4417237,751.8685875,760.6613463,796.6831502,790.8631573,814.6410587,769.5086195
"21944",8,"at5g16285.1",680.6149025,671.3962812,727.3998408,792.0121948,816.1025081,739.8412241,693.6490293
"21945",8,"at5g20790.1",800.0698047,799.1773718,858.2248456,904.7675761,846.5340618,810.1252678,1095.32802
"21946",8,"at5g22590.1",971.0096997,1312.422277,892.2013194,875.0836326,1052.289424,909.6751201,990.2526589
"21947",8,"at5g22600.1",962.8389802,1083.548159,868.4238242,874.2820779,806.4705004,764.3689334,968.3326262
"21948",8,"at5g24050.1",723.8324896,728.3320209,692.8689247,700.7765195,767.907359,747.0892723,750.1587031
"21949",8,"at5g24660.1",7889.706802,5228.329132,3266.49119,2870.76901,1814.36039,1144.831235,2075.075293
"21950",8,"at5g25240.1",6852.21519,7366.508509,3711.144265,3353.581729,3228.747954,3094.080656,6107.548231
"21951",8,"at5g25600.1",691.9307849,699.572976,705.7622847,680.4221694,685.7912547,712.9412772,742.0586166
"21952",8,"at5g28810.1",654.3492093,569.1285872,630.1409118,608.038261,630.945671,617.1300084,654.3486148
"21953",8,"at5g34885.1",726.801158,704.0430016,719.1927654,837.4340719,796.2999538,718.9405754,747.8053322
"21954",8,"at5g36280.1",990.3822851,1071.487905,962.285355,947.2032264,951.0163196,991.0223862,1058.228611
"21955",8,"at5g36960.1",819.7876619,933.4243641,1022.231684,977.0212697,770.3273621,707.3793952,687.697697
"21956",8,"at5g38440.1",1178.479584,1954.781166,2463.314847,4948.432653,7922.752006,11373.9685,2207.391326
"21957",8,"at5g38490.1",824.5779278,790.1424493,850.0889507,814.4795352,816.9023335,859.1368268,801.8777257
